,latitud,longitud,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_type_Casa,property_type_Departamento,property_type_PH
43,-34.6286465,-58.3618713,4.0,3.0,70.0,70.0,0,1,0
49,-34.6100272,-58.4019341,4.0,2.0,137.20571398351132,104.0,0,1,0
53,-34.6238858,-58.4127457,2.0,1.0,61.0,46.0,0,0,1
55,-34.6255875,-58.4230558,4.0,2.0,104.0,54.0,0,0,1
57,-34.620748,-58.4120041,3.0,2.0,59.0,55.0,0,1,0
60,-34.6305379,-58.4192214,3.0,2.0,50.0,50.0,0,1,0
61,-34.6275659,-58.4119371,4.0,3.0,100.0,100.0,0,1,0
62,-34.6275659,-58.4119371,4.0,3.0,100.0,100.0,0,0,1
226,-34.6383565,-58.4659987,4.0,3.0,80.0,75.0,0,1,0
227,-34.6297358,-58.4607885,5.0,4.0,171.0,150.0,0,1,0
228,-34.6385523,-58.4632778,3.0,2.0,116.0,79.0,0,0,1
229,-34.6308835,-58.4645877,3.0,2.0,62.0,58.0,0,1,0
231,-34.6252977,-58.4599977,3.0,2.0,57.0,53.0,0,1,0
277,-34.5481942,-58.4690506,2.0,1.0,37.0,33.0,0,1,0
281,-34.5494914,-58.4574914,2.0,1.0,102.0,88.0,0,1,0
283,-34.541616,-58.4733768,3.0,2.0,70.0,62.0,0,1,0
285,-34.5573015479,-58.4685730934,1.0,1.0,44.0,38.0,0,1,0
288,-34.5412501,-58.4729664,3.0,2.0,73.0,73.0,0,1,0
291,-34.554780352,-58.464217186,2.0,1.0,55.0,52.0,0,1,0
308,-34.6060474,-58.4278131,2.0,1.0,45.0,42.0,0,1,0
309,-34.611332,-58.427498,2.0,1.0,41.0,38.0,0,1,0
318,-34.5636726,-58.48074,1.0,1.0,22.0,22.0,0,1,0
319,-34.5629503984,-58.4751892092,2.0,1.0,42.0,39.0,0,1,0
320,-34.55792,-58.478867,1.0,1.0,39.0,36.0,0,1,0
395,-34.6404984,-58.5290395,3.0,2.0,66.0,60.0,0,1,0
400,-34.5808488,-58.4248094,2.0,1.0,39.0,39.0,0,1,0
404,-34.5952421,-58.4289526,5.0,3.0,140.0,120.0,0,0,1
408,-34.5795242,-58.4079468,4.0,3.0,134.17010294891787,101.0,0,1,0
410,-34.5767411,-58.4048299,5.0,4.0,400.0,255.58619383928436,0,1,0
414,-34.5808548551,-58.4269261743,1.0,1.0,35.0,35.0,0,1,0
416,-34.5947451,-58.4136728,2.0,1.0,45.0,40.0,0,1,0
424,-34.5770444,-58.4340299,2.0,2.0,41.0,38.0,0,1,0
425,-34.575231,-58.4200433,3.0,2.0,51.0,49.0,0,1,0
426,-34.5891968,-58.4227001,1.0,1.0,32.0,28.0,0,1,0
431,-34.5859869,-58.4112318,2.0,1.0,39.0,39.0,0,1,0
434,-34.5831538,-58.4353109,4.0,3.0,181.0,133.0,1,0,0
438,-34.5750525227,-58.4079581683,4.0,3.0,282.0,256.0,0,1,0
439,-34.5845107,-58.4264183,1.0,1.0,34.0,34.0,0,1,0
442,-34.5870715,-58.4268846,3.0,2.0,52.0,52.0,0,1,0
446,-34.578974,-58.412193,3.0,2.0,65.0,59.0,0,1,0
448,-34.5778545,-58.4087962,5.0,4.0,304.0,294.0,0,1,0
449,-34.5794262,-58.4334386,1.0,1.0,41.0,25.0,0,1,0
454,-34.5811991,-58.4108286,3.0,2.0,71.0,65.0,0,1,0
456,-34.5977922,-58.4189442,2.0,1.0,48.46698857095027,32.0,0,1,0
457,-34.5831527,-58.404647,3.0,2.0,77.0,74.0,0,1,0
462,-34.5818342978242,-58.42465082921276,2.0,1.0,50.0,50.0,0,1,0
463,-34.5818342978242,-58.42465082921276,3.0,2.0,185.0,185.0,0,1,0
464,-34.5799339,-58.429597,2.0,1.0,38.0,35.0,0,1,0
469,-34.5786665,-58.4137467,4.0,3.0,147.0,147.0,0,1,0
626,-34.6292715,-58.3721389,2.0,1.0,55.0,50.0,0,1,0
629,-34.5665362,-58.4482462,4.0,3.0,214.0,196.0,0,1,0
632,-34.5767211062,-58.4618424006,2.0,1.0,32.0,32.0,0,1,0
