,property_price
43,99000.0
49,146000.0
53,100000.0
55,185000.0
57,185000.0
60,95000.0
61,180000.0
62,180000.0
226,135000.0
227,319000.0
228,149000.0
229,95000.0
231,98000.0
277,79000.0
281,220000.0
283,155000.0
285,104000.0
288,137000.0
291,195000.0
308,115000.0
309,135000.0
318,54000.0
319,99900.0
320,79900.0
395,84900.0
400,69900.0
404,220000.0
408,250000.0
410,2700000.0
414,80000.0
416,125000.0
424,110000.0
425,179000.0
426,99000.0
431,110000.0
434,360000.0
438,2250000.0
439,89500.0
442,139000.0
446,190000.0
448,1200000.0
449,92000.0
454,280000.0
456,74000.0
457,198000.0
462,153000.0
463,890000.0
464,117000.0
469,398000.0
626,118500.0
629,1200000.0
632,60000.0
637,240000.0
644,115000.0
646,82000.0
647,355000.0
649,125000.0
653,345000.0
654,145000.0
657,125000.0
658,100000.0
659,849000.0
662,145000.0
669,135000.0
670,495000.0
671,410000.0
672,105000.0
705,90000.0
709,164000.0
712,195000.0
713,250000.0
714,130000.0
804,219000.0
805,310000.0
807,360000.0
814,63000.0
815,170000.0
816,1250000.0
818,199000.0
823,287000.0
824,115000.0
827,395000.0
829,64900.0
830,290000.0
833,148900.0
834,1200000.0
836,105000.0
838,109000.0
852,138000.0
853,59900.0
856,419900.0
858,190000.0
859,146000.0
861,147000.0
862,76000.0
863,80000.0
867,134900.0
869,450000.0
874,260000.0
875,170000.0
876,179000.0
888,160000.0
892,110000.0
895,69000.0
898,82000.0
899,69000.0
900,150000.0
903,124000.0
905,395000.0
906,87000.0
925,68000.0
927,109000.0
931,179000.0
1034,64000.0
1038,119000.0
1044,99000.0
1064,170000.0
1084,95000.0
1088,145000.0
1093,85000.0
1097,155000.0
1100,114900.0
1109,118000.0
1110,195000.0
1111,59900.0
1123,95000.0
1135,55000.0
1141,124000.0
1143,83000.0
1145,134000.0
1147,120000.0
1148,104900.0
1151,160000.0
1152,75000.0
1154,129000.0
1155,320000.0
1156,105000.0
1157,93500.0
1158,419000.0
1160,150000.0
1161,299000.0
1163,149000.0
1167,74900.0
1171,89000.0
1172,89800.0
1208,1750000.0
1212,1090000.0
1214,780000.0
1219,180000.0
1228,75914.0
1229,77369.0
1230,63698.0
1231,74460.0
1233,320000.0
1234,139000.0
1237,198000.0
1240,120485.0
1242,98226.0
1358,65000.0
1359,80000.0
1360,139000.0
1361,65000.0
1362,250000.0
1364,116000.0
1365,105000.0
1368,139900.0
1369,198000.0
1370,83000.0
1371,160000.0
1372,115000.0
1377,113500.0
1410,72000.0
1411,78000.0
1412,49450.0
1437,198000.0
1441,240000.0
1442,105000.0
1452,320000.0
1454,52000.0
1469,140000.0
1470,280000.0
1471,89000.0
1472,90000.0
1473,598000.0
1477,295000.0
1491,210000.0
1492,90000.0
1495,172000.0
1498,150000.0
1499,79800.0
1510,349000.0
1520,75000.0
1521,65000.0
1523,140000.0
1529,140000.0
1726,750000.0
1769,320000.0
1800,215000.0
1801,190000.0
1861,340000.0
2205,58000.0
2208,84000.0
2212,110000.0
2215,195000.0
2216,53000.0
2218,175000.0
2266,438000.0
2269,150000.0
2270,69900.0
2272,87000.0
2274,97000.0
2276,63000.0
2278,65000.0
2279,109000.0
2280,70000.0
2307,260000.0
2311,114000.0
2313,98000.0
2316,189000.0
2319,155000.0
2321,169000.0
2327,120900.0
2331,219900.0
2333,150000.0
2334,104900.0
2335,140000.0
2338,170000.0
2340,155000.0
2344,135000.0
2346,204000.0
2351,113000.0
2354,275000.0
2357,123000.0
2361,215000.0
2364,72900.0
2368,440000.0
2370,75000.0
2373,99000.0
2376,105000.0
2380,178000.0
2389,86000.0
2391,180000.0
2392,125000.0
2393,200000.0
2396,120000.0
2398,290000.0
2402,95000.0
2404,250000.0
2405,138000.0
2406,160000.0
2407,56000.0
2412,155000.0
2510,139900.0
2513,149000.0
2514,195000.0
2515,285000.0
2517,309000.0
2523,240000.0
2524,107640.0
2525,189000.0
2532,247500.0
2537,500000.0
2539,275000.0
2545,295000.0
2549,1150000.0
2551,270000.0
2552,80000.0
2554,200000.0
2555,500000.0
2556,119000.0
2560,44000.0
2561,165000.0
2601,156000.0
2603,80000.0
2606,118000.0
2607,500000.0
2608,1300000.0
2610,150000.0
2611,340000.0
2612,440000.0
2619,690000.0
2624,79500.0
2628,339000.0
2630,164900.0
2637,49000.0
2638,70000.0
2641,58000.0
2643,124900.0
2644,84000.0
2648,180000.0
2651,72000.0
2652,127000.0
2653,98000.0
2657,40000.0
2659,245000.0
2660,159000.0
2662,50900.0
2663,93000.0
2666,290000.0
2667,87000.0
2669,110000.0
2671,109000.0
2673,110500.0
2675,179900.0
2677,39000.0
2679,79500.0
2680,51000.0
2681,41500.0
2683,175000.0
2684,78000.0
2686,140760.0
2693,207000.0
2697,215000.0
2700,45000.0
2701,120000.0
2703,55000.0
2706,105000.0
2708,64700.0
2711,68000.0
2724,123000.0
2725,189000.0
2727,199000.0
2769,200000.0
2773,47000.0
2777,549000.0
2778,198900.0
2781,75000.0
2787,74000.0
2793,56000.0
2794,172500.0
2795,93000.0
2796,130000.0
2799,105000.0
2803,61500.0
2804,150000.0
2809,178000.0
2810,79000.0
2812,670000.0
2814,85000.0
2817,365000.0
2818,515000.0
2819,210370.0
2826,105000.0
2846,820000.0
2847,2199000.0
2849,320000.0
2851,220000.0
2852,215000.0
2854,59000.0
2856,59900.0
2857,110000.0
2859,150000.0
2862,166000.0
2864,245000.0
2868,215000.0
2870,95000.0
2913,99000.0
2917,126000.0
2924,109000.0
2925,105000.0
2926,68000.0
2927,173000.0
2929,179000.0
2930,105000.0
3013,159000.0
3020,120000.0
3024,164000.0
3026,62000.0
3029,78000.0
3030,289000.0
3031,98000.0
3040,165000.0
3041,130000.0
3042,136000.0
3044,490000.0
3045,155000.0
3046,200000.0
3047,265000.0
3048,135000.0
3053,300000.0
3066,152000.0
3067,81900.0
3068,63000.0
3071,220000.0
3082,120000.0
3084,295000.0
3143,315000.0
3208,165000.0
3245,345000.0
3250,397000.0
3305,450000.0
3526,109000.0
3527,125000.0
3547,62500.0
3548,115000.0
3549,63000.0
3550,362000.0
3552,95000.0
3553,110000.0
3569,145000.0
3570,63000.0
3571,200000.0
3573,235000.0
3575,92000.0
3576,370000.0
3577,75000.0
3578,210000.0
3579,172000.0
3585,55000.0
3586,330000.0
3590,237800.0
3593,139900.0
3596,80000.0
3598,133000.0
3600,74900.0
3601,85000.0
3603,89000.0
3606,87500.0
3610,109688.0
3611,145713.0
3613,80000.0
3615,56000.0
3633,145000.0
3635,430000.0
3638,168030.0
3641,95000.0
3642,139500.0
3644,1000000.0
3645,165000.0
3646,180000.0
3648,415000.0
3649,200000.0
3651,220000.0
3652,95000.0
3653,970000.0
3654,119000.0
3655,280000.0
3656,138000.0
3658,78500.0
3659,125000.0
3660,175900.0
3662,395000.0
3663,104000.0
3665,220000.0
3666,250000.0
3667,95000.0
3668,124900.0
3672,279000.0
3747,59000.0
3750,510000.0
3753,119000.0
3756,395000.0
3758,395000.0
3760,199000.0
3762,560000.0
3763,850000.0
3764,343000.0
3765,69000.0
3766,140000.0
3767,105000.0
3770,83500.0
3772,345000.0
3773,220000.0
3801,185000.0
3828,355000.0
3830,55000.0
3831,99850.0
3832,315000.0
3834,130000.0
3836,490000.0
3837,340000.0
3840,350000.0
3842,69900.0
3844,110000.0
3845,117000.0
3847,65000.0
3848,95000.0
3849,123000.0
3850,70000.0
3851,260000.0
3852,350000.0
3856,85000.0
3857,132000.0
3858,189000.0
3862,65000.0
3865,180000.0
3867,75000.0
3870,128000.0
3872,480000.0
3874,114200.0
3876,88000.0
3877,325000.0
3879,215000.0
3883,165000.0
3884,189900.0
3888,139000.0
3889,105000.0
3894,199000.0
3938,385000.0
3940,170000.0
3942,260000.0
3943,98000.0
3945,330000.0
3952,55000.0
3954,105000.0
3956,215000.0
3960,105000.0
3963,135000.0
3965,138000.0
3966,230000.0
3968,125000.0
3980,595000.0
3981,900000.0
3986,1250000.0
3989,800000.0
3990,395000.0
3995,115000.0
3996,115900.0
3997,129000.0
3999,89000.0
4000,105000.0
4001,69700.0
4004,223000.0
4007,131900.0
4009,270000.0
4035,85000.0
4037,159000.0
4039,105000.0
4041,80000.0
4051,220000.0
4109,180000.0
4110,99000.0
4111,280000.0
4131,112000.0
4146,159900.0
4148,275000.0
4274,299000.0
4287,299000.0
4324,750000.0
4326,480000.0
4381,370000.0
4443,790000.0
4479,225000.0
4688,110000.0
4689,125000.0
4722,95000.0
4725,93000.0
4726,74900.0
4748,145000.0
4751,250000.0
4752,110000.0
4755,620000.0
4756,90860.0
4757,117000.0
4760,209000.0
4761,49500.0
4763,75000.0
4765,255000.0
4766,76120.0
4768,130000.0
4769,175000.0
4772,76076.0
4774,230000.0
4777,79580.0
4778,84686.0
4779,88368.0
4781,133000.0
4782,132000.0
4784,67000.0
4785,90000.0
4786,159000.0
4791,167000.0
4797,494000.0
4800,730000.0
4801,99000.0
4803,173000.0
4805,229000.0
4808,230000.0
4811,94000.0
4812,89000.0
4814,160000.0
4815,210000.0
4819,93000.0
4821,119800.0
4822,255000.0
4824,290000.0
4826,2900000.0
4827,370000.0
4830,142500.0
4831,108000.0
4833,2300000.0
4837,109999.0
4845,1800000.0
4847,410000.0
4850,660000.0
4856,289000.0
4858,185000.0
4927,140000.0
4930,590000.0
4931,167000.0
4933,218000.0
4935,930000.0
4939,205000.0
4941,89000.0
4943,1000000.0
4947,159000.0
4949,255000.0
4952,90000.0
4953,108000.0
4955,120000.0
4957,950000.0
4959,118000.0
4960,480000.0
4961,160000.0
4963,150000.0
4965,95000.0
4969,319000.0
5017,180000.0
5021,129000.0
5022,235000.0
5026,49000.0
5028,255000.0
5036,98000.0
5037,97000.0
5045,119340.0
5046,114870.0
5047,223600.0
5048,365000.0
5051,130000.0
5052,97000.0
5053,280830.0
5054,113820.0
5060,129000.0
5067,124389.0
5068,255000.0
5069,163950.0
5072,284715.0
5074,179900.0
5076,160500.0
5078,135000.0
5082,79900.0
5083,145000.0
5089,260000.0
5090,250000.0
5091,350000.0
5092,90000.0
5095,250000.0
5123,75000.0
5127,980000.0
5135,92000.0
5136,250000.0
5140,82000.0
5146,57800.0
5149,45000.0
5153,43000.0
5154,95000.0
5156,365000.0
5158,255000.0
5160,105000.0
5162,230000.0
5164,89000.0
5165,175000.0
5169,110000.0
5170,350000.0
5190,1400000.0
5196,50500.0
5197,89700.0
5199,122000.0
5204,300000.0
5206,219000.0
5209,395000.0
5212,115000.0
5213,230000.0
5270,169000.0
5272,90000.0
5273,151000.0
5274,169000.0
5358,164900.0
5360,110000.0
5366,135000.0
5367,125000.0
5376,420000.0
5386,165000.0
5558,479000.0
5611,490000.0
5642,830000.0
5643,490000.0
5662,215000.0
5668,460000.0
5676,260000.0
5751,350000.0
5763,490000.0
5963,70000.0
5964,100000.0
5966,75000.0
5968,130000.0
6034,79000.0
6054,260000.0
6055,245000.0
6057,199000.0
6058,250000.0
6062,79000.0
6063,79000.0
6066,100000.0
6067,66000.0
6071,135000.0
6072,149000.0
6073,66000.0
6075,94000.0
6079,130000.0
6080,149000.0
6081,49500.0
6086,173000.0
6090,100000.0
6091,199800.0
6092,68000.0
6093,420000.0
6094,130000.0
6096,649000.0
6099,230000.0
6100,79000.0
6102,90000.0
6109,119800.0
6117,167000.0
6118,95000.0
6121,68000.0
6122,99000.0
6123,109000.0
6125,198100.0
6126,150000.0
6129,165000.0
6130,290000.0
6132,330000.0
6134,1355000.0
6209,99000.0
6210,249000.0
6211,144000.0
6218,107500.0
6223,155000.0
6224,190000.0
6228,139000.0
6229,189000.0
6231,549000.0
6233,210000.0
6234,100000.0
6235,190000.0
6236,178000.0
6239,147000.0
6240,760000.0
6241,420000.0
6243,85000.0
6244,70000.0
6257,55000.0
6258,60000.0
6276,75000.0
6280,137500.0
6281,78000.0
6291,450000.0
6292,129000.0
6293,56000.0
6294,89000.0
6295,45000.0
6302,149000.0
6304,95000.0
6306,98000.0
6312,130000.0
6315,235000.0
6321,140000.0
6323,143000.0
6325,63000.0
6327,98000.0
6332,153000.0
6333,75000.0
6335,115000.0
6336,125000.0
6337,485000.0
6340,62000.0
6344,156000.0
6345,220000.0
6351,110000.0
6353,218000.0
6357,119250.0
6358,128250.0
6360,220500.0
6361,180400.0
6363,191250.0
6402,280000.0
6403,69000.0
6404,445000.0
6409,68000.0
6413,76000.0
6422,79000.0
6423,189000.0
6425,149000.0
6427,114900.0
6429,156000.0
6430,166000.0
6431,70000.0
6432,210000.0
6435,238000.0
6437,215000.0
6438,110000.0
6441,120000.0
6455,950000.0
6458,61000.0
6461,125000.0
6462,135000.0
6463,78000.0
6464,144000.0
6465,90000.0
6469,135000.0
6524,80000.0
6525,118000.0
6528,150000.0
6530,143000.0
6531,100000.0
6533,183600.0
6534,106000.0
6613,139900.0
6615,370000.0
6623,220000.0
6624,100000.0
6625,95000.0
6626,190000.0
6627,170000.0
6628,280000.0
6630,350000.0
6631,199500.0
6637,140000.0
6638,172000.0
6640,250000.0
6642,118000.0
6644,110000.0
6645,153000.0
6647,270000.0
6658,363000.0
6659,248000.0
6660,128000.0
6661,140000.0
6662,75000.0
6663,70000.0
6664,138000.0
6665,105000.0
6666,110000.0
6667,150000.0
6680,89600.0
6681,200000.0
6682,95000.0
6713,155000.0
6714,320000.0
6815,400000.0
6816,580000.0
6867,102000.0
6869,550000.0
6870,400000.0
6871,350000.0
6872,420000.0
6874,162000.0
6875,270000.0
6876,300000.0
6877,320000.0
6880,600000.0
6895,400000.0
6921,320000.0
6971,220000.0
6973,190000.0
6974,305000.0
6978,190000.0
6979,220000.0
7210,73000.0
7211,85000.0
7212,88000.0
7213,98000.0
7214,115000.0
7220,75000.0
7258,80000.0
7264,89900.0
7265,179000.0
7266,75000.0
7267,237000.0
7268,140000.0
7270,72000.0
7271,210000.0
7273,141000.0
7293,75000.0
7296,240000.0
7299,210000.0
7301,75000.0
7306,130000.0
7312,135000.0
7317,370000.0
7319,265000.0
7320,138000.0
7321,2250000.0
7322,199000.0
7324,135000.0
7326,400000.0
7327,198000.0
7330,85500.0
7331,200000.0
7335,129000.0
7341,149000.0
7347,155000.0
7348,580000.0
7352,180000.0
7353,690000.0
7356,475000.0
7359,99000.0
7361,79000.0
7367,415000.0
7368,160000.0
7369,198000.0
7370,720000.0
7373,1500000.0
7376,235000.0
7377,420000.0
7382,400000.0
7384,550000.0
7385,90000.0
7386,750000.0
7387,780000.0
7460,125000.0
7462,159990.0
7466,127515.0
7467,175000.0
7468,200000.0
7471,185002.0
7473,150000.0
7474,360000.0
7475,220000.0
7476,230000.0
7477,275000.0
7478,169000.0
7479,250000.0
7480,360000.0
7481,250000.0
7482,185000.0
7483,137001.0
7484,270000.0
7486,340000.0
7488,145000.0
7489,185000.0
7490,185000.0
7491,225000.0
7492,245000.0
7496,230000.0
7497,75000.0
7500,245000.0
7502,155000.0
7504,300000.0
7505,204979.0
7506,440000.0
7509,135000.0
7510,170000.0
7511,335000.0
7512,250000.0
7513,58000.0
7515,100000.0
7516,235000.0
7521,118545.0
7524,118607.0
7526,290000.0
7527,180000.0
7528,255000.0
7529,360000.0
7530,140733.0
7533,420000.0
7534,69000.0
7535,850000.0
7542,75000.0
7546,79000.0
7547,390000.0
7548,85000.0
7549,110000.0
7554,147000.0
7555,150000.0
7559,350000.0
